,Error,low_pc_high,low_effective_address_low,low_effective_address_high,high_pc_high,high_effective_address_low,high_effective_address_high
1M-loads-split.csv,0.000644991637720051,0.07789752004346827,3.488333769715566,3.5948705420008524,0.08899274577365525,2.8357324256247827,2.748475453733814
compute_fp_1-loads-split.csv,4.749874274793722e-05,7.778771029738668,6.93216064240475,0.3017756446556697,7.32426145350351,6.912453227175459,0.2579295626927627
compute_fp_4-loads-split.csv,5.1731835318707836e-05,5.4533030752297655,4.875557916670231,0.008739947371189478,5.866087324328446,5.434555592095568,0.13582048221911508
compute_fp_9-loads-split.csv,3.8931295427398586e-06,4.58549033122393,3.7330648593238775,0.1746731985641842,0.03621158882243704,0.07487504386513694,0.4530858689586365
compute_fp_10-loads-split.csv,6.251195259747884e-05,7.077119170158919,6.269415539077413,0.10947677099077772,17.081998581122974,15.576433524384536,0.04497700883362522
compute_int_0-loads-split.csv,5.0787376038676834e-05,0.23904675160405323,0.16356114607144628,0.006352478836641718,29.37334839651364,27.576328668152804,0.7521544074834976
compute_int_4-loads-split.csv,6.415464854346878e-05,9.482598249848854,8.588415263544563,0.28691910826021666,14.447594347743902,13.386707653493623,0.3881948353301855
compute_int_7-loads-split.csv,7.838650397642459e-05,10.319338384990246,10.133021281445272,0.8169975202437527,10.327267213304765,10.336297308474386,1.0328926851920242
compute_int_11-loads-split.csv,1.9266394742638887e-05,0.6977829302398925,0.14487833745463397,0.07892509334059798,0.26075226338025564,0.0312620744197946,0.05341492151735416
compute_int_15-loads-split.csv,0.12233209467572427,2.055477193176032,1386.612491612873,0.07177764536800826,2.3773334433677062,25206.425952219604,0.5002129792287051
srv_10-loads-split.csv,6.557111060775176e-05,0.01623398445783512,0.35144546971173907,0.046183406387248355,0.40354480006333854,0.3282751434240008,0.03697781451439375
